764,380,168,225,130
759,386,155,216,121
751,390,152,213,120
742,394,147,207,117
735,396,149,207,121
731,390,129,182,102
727,383,140,207,128
719,382,146,218,132
710,378,156,225,137
707,375,155,223,135
708,372,167,230,150
716,370,154,220,133
722,368,152,221,132
729,368,156,227,135
737,368,160,229,138
743,366,160,231,138
750,366,171,240,152
757,368,178,242,155
761,372,175,234,143
761,375,168,225,130
755,377,147,207,119
749,377,144,204,114
741,373,167,236,144
737,373,165,236,142
729,373,167,238,147
724,375,157,230,138
733,381,143,208,127
739,381,134,192,108
740,386,116,173,90
744,384,120,179,94
768,380,169,226,131
