733,402,116,178,94
714,398,133,201,130
705,395,143,212,147
689,375,151,224,181
684,352,148,221,178
700,343,146,220,176
715,340,143,217,173
712,353,146,220,183
712,362,147,221,184
725,380,132,201,146
749,381,142,207,138
748,367,126,191,127
737,354,129,198,139
744,345,118,183,117
760,343,118,184,113
763,350,123,186,116
771,364,143,205,142
783,372,154,223,175
778,389,170,242,222
782,407,153,229,147
798,410,162,235,162
804,385,166,239,196
799,355,137,206,149
818,348,139,208,153
824,352,156,226,176
820,380,168,239,195
821,401,166,239,184
845,380,164,236,190
847,358,160,229,184
853,338,157,226,179
692,327,140,208,159
