554,396,144,225,158
539,395,137,218,152
516,388,134,215,150
494,388,133,214,148
479,392,129,207,145
466,403,121,200,135
453,424,126,204,144
436,437,122,202,143
430,439,121,201,142
410,447,124,203,146
391,453,134,211,155
352,473,131,207,160
341,480,124,197,152
327,496,122,195,149
321,507,131,204,159
331,521,133,210,154
368,525,130,209,146
394,519,126,208,145
415,523,150,232,168
439,517,141,227,154
458,507,140,226,155
476,498,145,235,165
502,473,164,247,155
522,447,126,215,130
536,438,133,222,141
550,425,142,227,145
529,420,137,218,151
507,418,127,210,146
501,411,125,207,142
487,413,126,205,140
463,441,124,205,144
