247,361,142,214,135
241,361,144,217,136
229,365,142,210,125
222,365,140,210,124
219,365,141,213,127
216,365,141,213,127
212,365,141,217,127
209,364,149,218,135
206,361,156,228,142
204,356,171,241,155
204,347,171,239,152
199,343,180,245,161
191,338,174,241,161
188,337,175,244,164
192,335,172,241,161
197,333,166,238,154
201,331,163,235,151
207,328,161,233,149
214,328,157,229,143
223,331,146,217,131
222,332,145,217,131
214,334,151,223,137
208,337,151,223,137
214,343,177,247,161
221,346,160,235,152
232,350,157,231,157
220,353,155,230,147
239,351,155,232,158
219,357,158,233,150
229,357,151,225,145
225,342,170,243,151
