605,406,160,230,142
594,413,175,247,165
574,424,171,245,166
555,429,165,239,160
546,456,161,236,172
553,473,172,244,198
575,482,176,245,198
586,460,176,247,184
601,440,165,237,163
633,429,169,240,164
652,435,169,240,159
649,450,164,240,166
627,469,177,248,188
617,490,169,241,195
627,506,164,235,195
656,488,163,237,188
699,440,180,252,206
686,411,173,244,188
661,394,162,235,158
687,380,175,250,183
711,380,176,246,192
725,387,185,254,210
727,422,182,248,210
727,439,171,243,195
736,451,164,236,188
760,450,156,226,176
794,440,151,224,169
800,425,157,231,178
779,410,166,241,185
751,391,188,255,212
533,437,158,231,150
