584,453,136,224,105
578,462,140,224,112
571,464,131,215,103
561,465,133,220,111
542,466,123,209,100
520,461,138,223,113
497,460,143,225,117
482,460,138,219,115
468,461,137,223,112
458,461,143,225,117
442,453,142,223,121
436,440,144,226,116
443,429,135,217,106
454,419,131,212,110
468,412,140,222,120
477,409,139,220,117
495,405,136,216,115
520,402,148,224,133
553,406,130,213,109
566,408,134,217,108
584,426,142,229,118
578,432,145,231,123
567,436,145,233,123
534,431,139,222,114
512,425,139,220,117
494,425,148,229,134
474,433,133,215,113
458,441,139,223,111
487,444,137,220,112
509,440,144,227,123
532,440,139,226,113
