849,352,166,232,135
836,350,155,221,124
798,352,144,214,115
759,348,145,217,115
738,347,146,217,121
699,347,153,225,124
641,347,166,240,141
623,346,163,238,143
604,344,161,234,145
547,345,155,226,143
541,336,152,226,147
532,324,152,225,146
511,322,153,224,146
489,325,151,222,143
469,328,160,229,148
443,336,168,235,163
432,350,162,227,147
439,361,162,228,140
466,366,158,228,132
486,362,165,235,146
512,363,156,230,135
532,367,153,229,131
561,374,156,233,127
600,380,161,238,132
654,380,160,233,125
690,375,148,225,120
741,374,152,227,122
775,373,148,220,118
792,373,151,222,120
820,387,163,232,123
827,403,158,231,118
