1129,549,133,208,165
1118,557,144,221,179
1103,559,154,231,195
1087,559,162,239,204
1072,549,161,239,197
1069,544,166,245,208
1075,534,174,253,222
1090,534,162,241,203
1105,534,163,243,204
1109,530,159,243,194
1114,519,174,252,216
1098,518,174,254,219
1084,513,157,240,191
1079,511,155,239,189
1079,506,155,236,178
1090,502,169,250,192
1095,502,166,250,191
1105,505,143,225,177
1114,504,161,245,195
1122,501,164,248,197
1127,500,168,252,202
1134,500,160,246,195
1141,506,155,238,192
1138,512,158,241,199
1135,516,159,240,200
1131,525,162,243,187
1128,529,156,240,185
1126,534,152,234,185
1119,541,160,238,202
1107,547,155,234,189
1095,547,161,239,199
